wavelength_nm,avobenzone,dhhb
399.0,685.8,32909.4
400.0,562.6,31839.0
401.0,460.2,30694.9
402.0,375.5,29489.4
403.0,305.6,28234.6
404.0,248.1,26942.3
405.0,200.9,25624.1
406.0,162.2,24290.9
407.0,130.7,22953.2
408.0,105.1,21620.6
409.0,84.3,20302.1
410.0,67.4,19005.4
411.0,53.8,17738.0
412.0,42.9,16505.8
413.0,34.1,15314.3
414.0,27.0,14167.9
415.0,21.4,13070.1
416.0,16.9,12023.6
417.0,13.3,11030.6
418.0,10.5,10092.1
419.0,8.2,9208.8
420.0,6.4,8380.8
421.0,5.0,7607.6
422.0,3.9,6888.0
423.0,3.1,6220.9
424.0,2.4,5604.6
425.0,1.9,5037.0
426.0,1.4,4516.1
427.0,1.1,4039.6
428.0,0.9,3604.9
429.0,0.7,3209.7
430.0,0.5,2851.3
431.0,0.4,2527.4
432.0,0.3,2235.4
433.0,0.2,1972.9
434.0,0.2,1737.6
435.0,0.1,1527.1
436.0,0.1,1339.4
437.0,0.1,1172.4
438.0,0.1,1024.2
439.0,0.0,893.0
440.0,0.0,777.1
441.0,0.0,674.9
442.0,0.0,585.1
443.0,0.0,506.3
444.0,0.0,437.4
445.0,0.0,377.1
446.0,0.0,324.6
447.0,0.0,278.9
448.0,0.0,239.3
449.0,0.0,204.9
450.0,0.0,175.2
451.0,0.0,149.6
452.0,0.0,127.5
453.0,0.0,108.5
454.0,0.0,92.2
455.0,0.0,78.2
456.0,0.0,66.2
457.0,0.0,56.0
458.0,0.0,47.3
459.0,0.0,39.9
460.0,0.0,33.6
461.0,0.0,28.3
462.0,0.0,23.8
463.0,0.0,19.9
464.0,0.0,16.7
465.0,0.0,14.0
466.0,0.0,11.7
467.0,0.0,9.7
468.0,0.0,8.1
469.0,0.0,6.8
470.0,0.0,5.6
471.0,0.0,4.7
472.0,0.0,3.9
473.0,0.0,3.2
474.0,0.0,2.7
475.0,0.0,2.2
476.0,0.0,1.8
477.0,0.0,1.5
478.0,0.0,1.2
479.0,0.0,1.0
480.0,0.0,0.8
481.0,0.0,0.7
482.0,0.0,0.6
483.0,0.0,0.5
484.0,0.0,0.4
485.0,0.0,0.3
486.0,0.0,0.3
487.0,0.0,0.2
488.0,0.0,0.2
489.0,0.0,0.1
490.0,0.0,0.1
491.0,0.0,0.1
492.0,0.0,0.1
493.0,0.0,0.1
494.0,0.0,0.0
495.0,0.0,0.0
496.0,0.0,0.0
497.0,0.0,0.0
498.0,0.0,0.0
499.0,0.0,0.0
500.0,0.0,0.0
